sampling_location,sample_date,sample_time,top_sample_temperature_c,bottom_sample_temperature_c,site_actual_depth_ft,top_salinity_psu,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,bottom_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,long,lat,type
J9A,2006-09-12T00:00:00.000,12:09 PM,20.55,20.49,22,27.79,27.88,6.13,0.294,0.616,0.103,2.19,1.42,0.166,21,6.5,12.54,40.63383,-73.87367,Permanent
J9A,2006-09-19T00:00:00.000,1:01 PM,22.41,21.86,18,25.24,25.96,9.35,0.48,1.29,0.177,1.73,1.68,0.298,3.25,10,52.67,40.63367,-73.87367,Permanent
J9A,2006-09-26T00:00:00.000,1:28 PM,20.25,19.98,21,26.66,27.02,6.67,0.426,0.838,0.145,1.8,1.37,0.214,3.5,1.7,19.7556,40.634,-73.87333,Permanent
J9A,2006-09-06T00:00:00.000,12:54 PM,20.75,20.62,15,26.15,26.27,5.01,0.368,1.18,0.178,4.99,1.89,0.246,2.5,1.5,10.78,40.634,-73.87333,Permanent
K1,2006-10-25T00:00:00.000,4:15 PM,14.62,14.93,46,19.14,22.99,7.21,0.544,0.341,,0.68,1.92,0.138,3.25,1.75,1.93,40.64983,-74.0835,Permanent
K1,2006-09-13T00:00:00.000,11:56 AM,20.95,20.71,42,22.78,25.42,5.42,0.466,0.406,0.116,1.37,1.77,0.158,1,16.25,2.51,40.6495,-74.08333,Permanent
K1,2006-09-20T00:00:00.000,3:02 PM,21.35,21,39,20.95,24.55,5.94,0.554,0.43,0.12,1.43,2.04,0.156,4.25,8.25,3.6,40.64983,-74.0825,Permanent
K1,2006-09-27T00:00:00.000,11:47 AM,20.24,19.35,49,21.7,27.37,6.06,0.481,0.303,0.114,1.85,1.36,0.142,5.2,6.8,5.4432,40.64983,-74.08267,Permanent
K1,2006-09-07T00:00:00.000,3:24 PM,21.38,21.13,41,19.63,23.03,5.2,0.546,0.525,,1.96,2.29,0.197,1.75,12.5,1.86,40.64967,-74.08233,Permanent
K2,2006-10-25T00:00:00.000,12:58 PM,14.3,14.54,30,17.83,18.58,7.47,0.637,0.365,,0.97,2.45,0.15,6.5,4.5,2.51,40.641,-74.15283,Permanent
K2,2006-09-13T00:00:00.000,12:16 PM,21.13,20.87,29,20.37,23.28,5.5,0.559,0.477,0.134,1.35,2.48,0.191,20.5,1,2.96,40.641,-74.15333,Permanent
K2,2006-09-20T00:00:00.000,2:38 PM,21.44,21.36,45,16.99,19.98,6.14,0.749,0.416,0.144,1.12,3.58,0.18,1.5,4.5,3.48,40.64117,-74.15233,Permanent
K2,2006-09-27T00:00:00.000,12:11 PM,20.2,20.02,45,20.78,23.15,6.39,0.548,0.368,0.125,1.41,1.9,0.165,6.5,7.7,5.544,40.64117,-74.15283,Permanent
K2,2006-09-07T00:00:00.000,3:02 PM,21.96,21.47,26,16.6,17.72,5.29,0.662,0.544,,2.29,2.92,0.215,5.5,10.25,2.31,40.64083,-74.15267,Permanent
K3,2006-10-25T00:00:00.000,1:17 PM,14.95,14.66,40,16.92,18.63,7.26,0.684,1.2,,1.69,2.67,0.238,4,6,2.11,40.6375,-74.19533,Permanent
K3,2006-09-13T00:00:00.000,12:34 PM,21.42,21.35,42,20.49,20.67,4.4,0.62,0.648,0.158,1.38,2.52,0.207,3.75,1.75,4.44,40.6375,-74.19517,Permanent
K3,2006-09-20T00:00:00.000,2:20 PM,21.56,21.41,37,18.67,20.17,6.08,0.696,0.47,0.138,1.49,2.81,0.18,2.25,4,4.67,40.6375,-74.19533,Permanent
K3,2006-09-27T00:00:00.000,12:29 PM,20.75,20.65,42,20.74,20.78,6.37,0.612,0.658,0.157,1.76,2.08,0.196,3.8,5.3,4.4642,40.63767,-74.19517,Permanent
K3,2006-09-07T00:00:00.000,2:42 PM,22.04,21.33,36,17.86,20.28,5.81,0.63,0.551,,2.39,2.8,0.215,3.75,6.5,2.9,40.63733,-74.19533,Permanent
K4,2006-10-25T00:00:00.000,1:48 PM,14.77,14.69,38,18.51,18.55,7.14,0.68,0.593,,1.04,2.4,0.192,13.25,6.75,2.01,40.56617,-74.21283,Permanent
K4,2006-09-13T00:00:00.000,1:06 PM,22.01,21.84,41,19.86,20,4.46,0.79,0.614,0.178,1.4,2.86,0.24,3,14.25,4.62,40.5655,-74.213,Permanent
K4,2006-09-20T00:00:00.000,1:46 PM,22.35,22.4,36,18.73,18.73,5.58,0.768,0.716,0.176,1.39,2.98,0.244,3.5,11.25,4.42,40.566,-74.2125,Permanent
K4,2006-09-27T00:00:00.000,1:00 PM,21.05,20.44,40,21.44,23.08,6.45,0.61,0.514,0.142,1.36,1.77,0.184,12,6,9.3122,40.56567,-74.21283,Permanent
K4,2006-09-07T00:00:00.000,2:08 PM,22.07,22.46,35,18.75,18.52,3.75,0.753,0.76,,2.46,2.94,0.286,14.25,8.5,2.81,40.566,-74.21283,Permanent
K5,2006-10-25T00:00:00.000,2:17 PM,14.63,14.12,40,19.76,24.33,7.45,0.644,0.44,,0.95,1.96,0.168,8.25,11,5.19,40.51,-74.25817,Permanent
K5,2006-09-13T00:00:00.000,1:37 PM,21.18,20.49,44,21.59,24.21,6.81,0.594,0.316,0.112,0.9,2.44,0.174,2,7,15.06,40.5105,-74.25833,Permanent
K5,2006-09-20T00:00:00.000,1:14 PM,21.65,21.37,35,20.92,21.89,5.22,0.7,0.524,0.159,1.06,2.78,0.202,8.5,13.75,6.44,40.5105,-74.25867,Permanent
K5,2006-09-27T00:00:00.000,1:28 PM,20.51,19.88,42,23.99,25.33,8.5,0.408,0.184,0.09,1.74,1.01,0.169,6.8,8,27.3312,40.51033,-74.25833,Permanent
K5,2006-09-07T00:00:00.000,1:35 PM,21.2,21.1,37,21.12,21.38,5.01,0.622,0.447,,2.39,2.74,0.215,10,11.5,6.22,40.51083,-74.25867,Permanent
K5A,2006-10-25T00:00:00.000,2:30 PM,13.9,13.86,20,22.12,22.3,8.04,0.556,0.305,,0.82,1.69,0.149,3,4.5,8.96,40.48417,-74.24433,Permanent
K5A,2006-09-13T00:00:00.000,1:51 PM,20.9,20.57,25,21.42,24.46,6.33,0.61,0.31,0.11,0.96,2.66,0.159,1.5,2.5,9.15,40.48417,-74.24483,Permanent
K5A,2006-09-20T00:00:00.000,12:58 PM,21.23,21.05,19,22.64,23.38,5.38,0.602,0.338,0.128,0.96,2.34,0.167,0.75,2.5,12.54,40.4845,-74.244,Permanent
K5A,2006-09-27T00:00:00.000,1:41 PM,20.48,19.92,24,23.44,25.73,8.44,0.412,0.168,0.087,1.01,0.959,0.149,10.2,13.5,21.6996,40.48417,-74.24483,Permanent
K5A,2006-09-07T00:00:00.000,1:22 PM,20.95,20.7,20,21.53,22.29,5.18,0.556,0.35,,1.4,2.75,0.178,4.25,9.75,7.99,40.48433,-74.24483,Permanent
K6,2006-09-13T00:00:00.000,2:33 PM,20.39,20.31,20,26.07,26.17,6.99,0.321,0.234,0.074,1.28,1.25,0.122,19.5,1,11.45,40.51333,-74.0975,Permanent
K6,2006-09-20T00:00:00.000,12:12 PM,21.17,21.07,16,24.16,24.26,8.15,0.423,0.135,0.065,0.69,0.98,0.128,4,2.75,32.68,40.51367,-74.0975,Permanent
K6,2006-09-27T00:00:00.000,2:24 PM,19.84,19.66,18,25.1,25.59,8.3,0.312,0.156,0.07,1.28,0.578,0.108,6,5.5,23.1928,40.514,-74.09883,Permanent
K6,2006-09-07T00:00:00.000,12:35 PM,20.9,20.84,16,24.34,24.79,5.11,0.36,0.273,,1.33,1.74,0.126,3.25,6.75,11.29,40.5135,-74.09733,Permanent
MB1,2006-08-01T00:00:00.000,12:06 PM,26.88,23.85,23,26.34,26.68,5.98,0.009,0.397,0.16,1.44,1.15,0.248,11,9.75,30.9,40.61283,-73.91533,Permanent
MB1,2006-08-29T00:00:00.000,12:16 PM,23.76,23.3,23,26.56,28.13,1.8,0.086,0.653,0.167,1.54,1.71,0.271,2.25,1.75,10.28,40.613,-73.9155,Permanent
MB1,2006-09-26T00:00:00.000,12:27 PM,20.3,20.15,23,27.07,27.3,3.53,0.264,0.782,0.155,1.97,1.9,0.212,8.2,6.5,13.362,40.61267,-73.91533,Permanent
MB3,2006-08-01T00:00:00.000,12:21 PM,26.87,11.92,52,26.55,28.75,9.25,0.054,0.553,0.207,1.74,1.23,0.296,1.75,23.75,28.07,40.60417,-73.90717,Permanent
MB3,2006-08-29T00:00:00.000,12:33 PM,23.28,22.1,53,26.77,28.31,4.6,0.15,0.61,0.154,1.29,1.22,0.22,2,1,11.72,40.60417,-73.90733,Permanent
MB3,2006-09-26T00:00:00.000,12:41 PM,20.16,20.04,33,27.19,27.63,6.63,0.321,0.59,0.124,2.58,1.36,0.173,4.5,4.7,15.1616,40.6045,-73.90667,Permanent
N1,2006-10-23T00:00:00.000,4:34 PM,16.21,16.6,48,4.97,8.68,8.27,0.601,0.086,,1.03,1.8,0.172,14,20.5,2.01,40.91183,-73.91467,Permanent
N1,2006-07-31T00:00:00.000,2:37 PM,27.87,23.81,49,4.62,18.66,6.95,0.488,0.088,0.073,0.98,4.06,0.116,15,35.25,6.71,40.91117,-73.91583,Permanent
N1,2006-08-21T00:00:00.000,4:18 PM,26.13,24.55,48,8.73,15.86,7.91,0.333,0.073,0.064,1.12,2.21,0.09,13.75,17.75,10.98,40.91183,-73.91467,Permanent
N1,2006-08-28T00:00:00.000,2:34 PM,23.93,23.54,49,12.34,17.55,5.83,0.378,0.233,0.104,0.71,1.85,0.128,1,0.5,2.43,40.91167,-73.91483,Permanent
N1,2006-08-08T00:00:00.000,4:08 PM,27.16,24.56,47,7.66,14.35,12.4,0.105,0.047,0.013,0.78,2.07,0.098,21,6.5,58.13,40.9115,-73.91467,Permanent
N1,2006-09-11T00:00:00.000,3:02 PM,22.14,21.99,49,17.06,18.13,4.78,0.597,0.27,0.119,0.91,2.22,0.187,4.5,41.25,2.14,40.9115,-73.91583,Permanent
N1,2006-09-18T00:00:00.000,2:31 PM,23.34,21.29,47,7.79,17.15,7.48,0.566,0.05,0.08,0.5,2.41,0.106,7.75,5.75,3.19,40.91183,-73.91467,Permanent
N1,2006-09-25T00:00:00.000,2:23 PM,21.73,21.13,50,11.99,15.57,6.48,0.678,0.152,0.118,1.19,2.32,0.153,1,15.5,2.28112,40.91217,-73.91467,Permanent
N1,2006-09-05T00:00:00.000,1:54 PM,22.42,22.25,46,10.24,13.5,6.86,0.462,0.145,0.085,1.56,2.31,0.119,6.5,15.25,5.68,40.91183,-73.91467,Permanent
N16,2006-08-01T00:00:00.000,10:35 AM,22.83,17.12,25,28.63,30.87,10.68,0.006,0.029,0.014,0.8,0.05,0.055,2.8,2,9.36,40.52933,-73.943,Permanent
N16,2006-08-22T00:00:00.000,11:22 AM,22.1,20.79,27,29.91,30.36,6.55,0.03,0.082,0.037,0.7,0.12,0.056,3.6,3.2,4.18,40.53183,-73.94667,Permanent
N16,2006-08-29T00:00:00.000,*,,,*,,,,,,,,,,,,,,,Permanent
N16,2006-08-09T00:00:00.000,11:16 AM,23.74,23.7,25,30.63,30.63,6.8,0.002,0.026,0.017,0.66,0.16,0.04,2.4,4.8,1.68,40.5295,-73.94183,Permanent
N16,2006-09-19T00:00:00.000,10:59 AM,21.16,20.82,25,27.41,28.24,8.45,0.194,0.153,0.044,0.33,0.38,0.085,5.8,6.9,16.61,40.53033,-73.94167,Permanent
N16,2006-09-26T00:00:00.000,11:04 AM,18.9,18.54,22,30.51,31.76,6.73,0.076,0.072,0.033,1.48,0.356,0.066,5.4,9.4,9.5268,40.53167,-73.94217,Permanent
N16,2006-09-06T00:00:00.000,11:26 AM,20.28,20.15,24,29.15,29.54,5.84,0.101,0.266,0.05,0.88,0.65,0.086,1,1.4,3.59,40.52933,-73.94233,Permanent
N3B,2006-10-23T00:00:00.000,3:40 PM,16.27,16.66,66,8.3,16.1,7.68,0.604,0.172,,1.4,1.72,0.118,8.5,17.75,3.17,40.81933,-73.96533,Permanent
N3B,2006-07-31T00:00:00.000,2:05 PM,26.71,22.35,66,6.86,23.22,6.23,0.469,0.113,0.08,0.98,3.75,0.12,3.75,18.25,5.9,40.81933,-73.96567,Permanent
N3B,2006-08-21T00:00:00.000,3:35 PM,25.92,23.98,63,11.08,19.85,7.3,0.357,0.162,0.089,0.8,2.01,0.12,6,21,9.24,40.81983,-73.96533,Permanent
N3B,2006-08-28T00:00:00.000,2:00 PM,23.46,22.83,65,16.38,22.67,5.34,0.35,0.306,0.114,0.61,1.46,0.142,1.5,4,1.51,40.81983,-73.96533,Permanent
N3B,2006-08-08T00:00:00.000,3:19 PM,26.36,23.8,64,10.19,16.49,10.86,0.098,0.03,0.011,0.7,1.71,0.1,8.25,34.75,55.61,40.82167,-73.96383,Permanent
N3B,2006-09-11T00:00:00.000,2:26 PM,21.93,21.62,69,20.97,22.48,5.12,0.499,0.367,0.118,0.93,1.9,0.17,3.5,117.25,2.62,40.82,-73.96517,Permanent
N3B,2006-09-18T00:00:00.000,3:06 PM,22.82,21.02,65,9.1,20.42,7.01,0.581,0.086,0.09,0.33,2.35,0.12,1.25,13.75,3.37,40.81983,-73.96517,Permanent
N3B,2006-09-25T00:00:00.000,1:46 PM,21.29,20.64,65,15.74,22.02,6.43,0.598,0.274,0.122,1.57,1.91,0.157,8.5,10.25,2.396,40.82017,-73.965,Permanent
N3B,2006-09-05T00:00:00.000,2:25 PM,22.1,21.96,66,13.24,16.03,6.12,0.47,0.184,0.094,1.38,2.22,0.124,2,13.5,4.92,40.819,-73.96567,Permanent
N4,2006-10-23T00:00:00.000,3:01 PM,16.15,16.51,39,10.71,20.46,7.64,0.539,0.311,,1.5,1.5,0.164,11.75,15.75,2.46,40.764,-74.00533,Permanent
N4,2006-07-31T00:00:00.000,1:45 PM,27.11,21.53,45,7.17,24.65,6.49,0.484,0.098,0.078,0.99,4.03,0.12,21,11.25,7.36,,,Permanent
N4,2006-08-21T00:00:00.000,3:02 PM,25.35,23.7,38,14.63,21.85,6.86,0.344,0.201,0.102,0.96,1.83,0.128,11.75,12.5,8.64,40.76383,-74.00533,Permanent
N4,2006-08-28T00:00:00.000,1:36 PM,23.46,22.54,42,17.04,24.49,5.41,0.337,0.316,0.112,0.64,1.38,0.148,3.75,13,1.95,40.76367,-74.00533,Permanent
N4,2006-08-08T00:00:00.000,2:41 PM,25.85,22.73,40,12.95,20.14,11.42,0.083,0.044,0.02,0.68,1.27,0.111,25.75,37.25,49.44,40.76233,-74.0065,Permanent
N4,2006-09-11T00:00:00.000,1:59 PM,21.77,21.4,46,22.18,24.11,5.02,0.444,0.402,0.118,1.13,1.75,0.17,5.75,30.75,2.44,40.76417,-74.006,Permanent
N4,2006-09-18T00:00:00.000,3:27 PM,22.75,20.9,43,11.1,21.95,6.71,0.573,0.105,0.09,0.45,2.28,0.119,7.75,10.5,3.02,40.76433,-74.0055,Permanent
N4,2006-09-25T00:00:00.000,1:21 PM,21.05,20.32,41,17.08,24.35,6.26,0.595,0.272,0.122,1.9,1.8,0.163,6.75,11.5,2.7636,40.76383,-74.0055,Permanent
N4,2006-09-05T00:00:00.000,2:46 PM,22.01,21.69,39,13.78,19.45,6.29,0.452,0.23,0.1,2.19,2.16,0.129,2,8,5.41,40.7635,-74.00567,Permanent
N5,2006-10-23T00:00:00.000,2:27 PM,16.14,16.14,47,14.75,24.86,7.46,0.514,0.29,,1.53,1.37,0.125,5.9,5.8,3.26,40.70383,-74.02367,Permanent
N5,2006-07-31T00:00:00.000,1:20 PM,25.36,20,49,14.03,27.02,5.88,0.406,0.189,0.088,1.11,2.66,0.116,14,19,6.56,40.70567,-74.02383,Permanent
N5,2006-08-21T00:00:00.000,2:32 PM,24.43,23.14,45,17.51,25.35,6.26,0.321,0.286,0.112,0.9,1.54,0.126,10.6,6.4,6.73,40.704,-74.02317,Permanent
N5,2006-08-28T00:00:00.000,1:13 PM,23,22.27,48,21.43,25.94,5.1,0.334,0.364,0.118,0.67,1.31,0.148,3.6,4.5,1.77,40.70417,-74.02367,Permanent
N5,2006-08-08T00:00:00.000,2:08 PM,23.89,21.78,44,17.16,24.39,8.22,0.143,0.074,0.034,0.68,1.22,0.111,12.8,25.2,36.45,40.704,-74.02367,Permanent
N5,2006-09-11T00:00:00.000,1:36 PM,21.34,21.08,52,24.87,26.09,5.24,0.354,0.388,0.1,1.37,1.5,0.154,7.2,15.4,2.95,40.70417,-74.02383,Permanent
N5,2006-09-18T00:00:00.000,3:50 PM,22.63,20.66,49,11.99,24.65,6.94,0.562,0.213,0.104,0.46,2.13,0.128,2.9,3.7,2.27,40.70417,-74.0235,Permanent
N5,2006-09-25T00:00:00.000,12:57 PM,20.6,19.96,47,22.18,26.08,6.27,0.47,0.339,0.112,1.31,1.42,0.152,5.6,8.8,4.9268,40.70417,-74.02333,Permanent
N5,2006-09-05T00:00:00.000,3:09 PM,21.83,21.26,47,15.75,22.79,6.22,0.421,0.34,0.116,0.82,1.58,0.144,2.6,0.8,2.5,40.70417,-74.02333,Permanent
N6,2006-10-25T00:00:00.000,12:13 PM,14.73,14.73,56,20.51,28.04,7.12,0.408,0.26,,0.78,1.23,0.106,4.75,5.25,3.42,40.66417,-74.05233,Permanent
N6,2006-09-13T00:00:00.000,11:31 AM,21.19,20.75,56,21.74,25.67,5.4,0.488,0.377,0.116,1.17,1.81,0.152,18.5,13.75,2.87,40.6645,-74.0525,Permanent
N6,2006-09-20T00:00:00.000,3:15 PM,21.45,20.89,52,20.28,25.58,5.67,0.53,0.342,0.116,0.92,1.7,0.14,2.75,1.5,4.4,40.66433,-74.05267,Permanent
N6,2006-09-27T00:00:00.000,11:21 AM,20.36,19.15,55,21.54,28.45,5.89,0.418,0.292,0.104,0.954,1.1,0.127,5.5,12.2,7.077,40.66467,-74.0525,Permanent
N6,2006-09-07T00:00:00.000,3:37 PM,21.77,21.24,51,20.81,22.88,5.13,0.43,0.404,,1.58,1.92,0.16,6,36.5,2.04,40.66417,-74.05283,Permanent
N7,2006-10-25T00:00:00.000,4:30 PM,15.09,14.7,44,16.57,26.31,7.4,0.491,0.278,,0.91,1.41,0.127,8,8.8,2.25,40.6435,-74.0545,Permanent
N7,2006-09-13T00:00:00.000,11:44 AM,20.98,20.35,47,23.09,27,5.48,0.466,0.396,0.117,1.09,1.74,0.158,3.5,5,4.44,40.64383,-74.0535,Permanent
N7,2006-09-20T00:00:00.000,11:21 AM,21.28,20.92,45,22.13,24.86,5.94,0.459,0.453,0.113,1.08,1.55,0.137,10.25,10,5.06,40.64367,-74.05283,Permanent
N7,2006-09-27T00:00:00.000,11:32 AM,20.04,19.28,47,22.62,27.9,6.48,0.432,0.268,0.103,1.18,1.12,0.131,6.2,11,10.059,40.64417,-74.05367,Permanent
N7,2006-09-07T00:00:00.000,11:46 AM,21.33,20.74,44,22.3,26.01,5.24,0.408,0.482,,2.41,1.84,0.162,5.5,17.5,2.03,40.64383,-74.05333,Permanent
N8,2006-09-13T00:00:00.000,3:09 PM,20.43,20.13,78,26.22,28.27,6.68,0.266,0.288,0.072,1.07,1.1,0.118,3.1,2.5,9.16,40.606,-74.049,Permanent
N8,2006-09-20T00:00:00.000,11:36 AM,21.06,20.66,76,22.92,27.35,6.69,0.416,0.318,0.095,0.87,1.21,0.128,11.2,12.2,10.36,40.60467,-74.04767,Permanent
N8,2006-09-27T00:00:00.000,3:03 PM,20.32,18.81,76,22.45,29.4,6.9,0.325,0.189,0.074,1.7,0.603,0.112,5.4,5.4,17.825,40.60567,-74.04883,Permanent
N8,2006-09-07T00:00:00.000,12:00 PM,21.39,20.6,76,23.73,27.23,5.26,0.332,0.438,,1.16,1.53,0.143,3.6,10.4,2.86,40.605,-74.0485,Permanent
N9,2006-10-24T00:00:00.000,11:06 AM,14.55,14.59,19,30.38,30.79,6.72,0.188,0.12,,0.59,0.74,0.077,4.8,4.5,6.58,40.56833,-73.98483,Permanent
N9,2006-08-01T00:00:00.000,10:10 AM,22.56,22.43,15,26.02,27.81,8.68,0.06,0.049,0.032,0.86,0.21,0.09,4,1.75,26.74,40.569,-73.9845,Permanent
N9,2006-08-22T00:00:00.000,10:58 AM,22.29,21.63,15,29.74,30.16,7.34,0.025,0.053,0.033,0.43,0.09,0.056,1,0.75,7.62,40.569,-73.98367,Permanent
N9,2006-08-29T00:00:00.000,10:52 AM,22.2,22.26,16,28.8,29.28,5,0.092,0.309,0.064,0.8,0.57,0.121,4.4,10.8,3.62,40.56933,-73.98633,Permanent
N9,2006-08-09T00:00:00.000,10:54 AM,23.69,23.53,14,29.98,30.08,6.26,0.012,0.073,0.033,0.73,0.23,0.075,1.75,0.7,8.75,40.56883,-73.985,Permanent
N9,2006-09-12T00:00:00.000,10:54 AM,20,19.94,20,29.19,29.46,6.99,0.106,0.129,0.033,0.83,0.45,0.075,17.5,11.6,10.38,40.56833,-73.98483,Permanent
N9,2006-09-19T00:00:00.000,10:37 AM,20.97,20.9,14,26.59,27.6,7.66,0.222,0.184,0.05,0.82,0.52,0.088,7,13.25,14.63,40.56933,-73.9845,Permanent
N9,2006-09-26T00:00:00.000,10:41 AM,19.2,19.08,17,29.13,29.49,6.84,0.152,0.132,0.045,1.41,0.486,0.084,1.5,3.2,10.3626,40.56883,-73.985,Permanent
N9,2006-09-06T00:00:00.000,11:04 AM,20.25,20.13,13,28.67,29.57,5.75,0.117,0.299,0.056,3.18,0.74,0.089,3,1.5,4.11,40.56933,-73.98417,Permanent
NC0,2006-10-25T00:00:00.000,10:21 AM,14.47,14.44,12,20.09,20.09,2.35,0.104,1.08,,2.14,1.85,0.32,5.75,8.25,34.87,40.71483,-73.9315,Permanent
NC0,2006-05-24T00:00:00.000,10:21 AM,16.26,15.05,12,16.25,18.44,1.12,0.018,1.44,0.329,4.53,2.3,0.429,8,13,11.42,40.71483,-73.93133,Permanent
NC0,2006-06-01T00:00:00.000,10:09 AM,16.38,15.95,14,20.28,20.33,3.84,0.21,0.657,0.099,1.86,0.45,0.248,35.75,45,25.54,40.71483,-73.93133,Permanent
NC0,2006-06-21T00:00:00.000,10:20 AM,20.63,18.53,14,19.57,20.51,4.32,0.027,0.939,0.199,1.76,1.38,0.288,32.25,13.25,30.6976,,,Permanent
NC0,2006-06-29T00:00:00.000,10:29 AM,21.87,20.69,16,20.49,21,2.71,0.101,0.742,0.143,1.72,1.58,0.242,20.75,9.25,14.42,40.715,-73.93133,Permanent
NC0,2006-06-07T00:00:00.000,10:23 AM,18.91,17.51,13,15.33,18.55,1.3,0.011,0.709,0.175,2.12,1.35,0.331,21.75,32,82.08,40.71467,-73.9315,Permanent
NC0,2006-07-12T00:00:00.000,10:07 AM,19.96,19.74,17,20.12,20.34,0.08,0.014,0.842,0.178,1.78,2.25,0.237,8,2.75,1.28,40.71483,-73.93133,Permanent
NC0,2006-07-19T00:00:00.000,10:15 AM,21.81,20.87,16,20.24,21,2.22,0.057,0.629,0.146,2.42,1.1,0.342,40.5,38.75,120.02,40.71483,-73.93133,Permanent
NC0,2006-07-26T00:00:00.000,10:03 AM,22.64,22.39,19,20.35,20.49,0.23,0.01,1.003,0.27,1.89,1.27,0.28,54.75,30.25,35.32,40.715,-73.93133,Permanent
NC0,2006-08-30T00:00:00.000,10:32 AM,23.5,23.44,14,22.48,23.11,0.1,0.01,1.007,0.273,4.14,2.68,0.327,8.75,10.5,5.94,40.71467,-73.93133,Permanent
NC0,2006-09-13T00:00:00.000,10:10 AM,21.4,21.5,17,22.05,22.36,1.39,0.271,0.714,0.19,1.76,2.86,0.29,7.5,6.75,17.62,40.71483,-73.93117,Permanent
NC0,2006-09-20T00:00:00.000,9:51 AM,21.33,21.52,16,20.81,21.72,4.85,0.169,0.644,0.14,1.96,2.28,0.28,2.5,2.25,27.64,-73.9315,0,Permanent
NC0,2006-09-27T00:00:00.000,9:56 AM,19.99,20.04,16,20.97,21,7.05,0.288,0.55,0.148,2.65,2.23,0.286,4.5,5.5,53.7408,40.71467,-73.93133,Permanent
NC0,2006-09-07T00:00:00.000,10:20 AM,22,21.83,18,21.12,21.93,0.08,0.027,1.1,,4.07,3.46,0.38,1.75,7,21.33,40.71467,-73.93133,Permanent
NC1,2006-10-25T00:00:00.000,10:33 AM,14.37,14.36,22,20.21,20.21,5.12,0.378,0.734,,1.73,1.12,0.28,7.75,7.5,18.83,40.72383,-73.92633,Permanent
NC1,2006-05-24T00:00:00.000,10:32 AM,15.68,14.98,21,17.42,18.92,1.06,0.17,0.918,0.199,2.16,1.94,0.39,18.5,5,37.64,40.72417,-73.92633,Permanent
NC1,2006-06-01T00:00:00.000,10:20 AM,17.77,16.57,20,20.24,20.65,6.06,0.286,0.437,0.081,1.28,0.76,0.184,20.75,34.5,7.56,40.72383,-73.92633,Permanent
NC1,2006-06-21T00:00:00.000,10:34 AM,21.42,18.72,18,19.65,20.82,6.16,0.149,0.675,0.127,1.75,1.27,0.226,11.25,18.5,23.6684,40.72433,-73.92633,Permanent
NC1,2006-06-29T00:00:00.000,10:41 AM,22.12,20.15,20,19.2,21.21,3.66,0.177,0.787,0.162,1.52,1.8,0.258,18.5,22.75,8.3,40.72367,-73.92667,Permanent
NC1,2006-06-07T00:00:00.000,10:55 AM,18.3,17.3,23,17.45,19.86,2.65,0.1,0.765,0.161,2.15,1.36,0.29,35.75,21.75,37.81,40.72383,-73.92633,Permanent
NC1,2006-07-12T00:00:00.000,10:21 AM,21.83,19.96,22,19.78,21.27,1.33,0.184,0.628,0.124,1.29,2.07,0.202,39.25,2.5,3.76,40.72383,-73.9265,Permanent
NC1,2006-07-19T00:00:00.000,10:26 AM,22.91,21.06,18,20.67,21.41,3.18,0.038,0.28,0.068,2.25,0.4,0.278,51,37.75,117.36,40.72383,-73.9265,Permanent
NC1,2006-07-26T00:00:00.000,10:12 AM,23.29,22.67,23,20.36,20.95,4.76,0.055,0.62,0.18,1.72,1.2,0.2,19.75,32.5,44.72,40.724,-73.92633,Permanent
NC1,2006-08-30T00:00:00.000,10:44 AM,22.73,23.22,22,21.16,23.33,0.4,0.101,0.774,0.203,3.23,2.38,0.282,3.75,6.5,5.96,40.72433,-73.92667,Permanent
NC1,2006-09-13T00:00:00.000,10:21 AM,21.07,21.39,20,22.03,22.63,7.1,0.324,0.37,0.11,1.65,2.32,0.24,10.5,2.5,58.63,40.72383,-73.92633,Permanent
NC1,2006-09-20T00:00:00.000,10:03 AM,21.38,21.38,21,21.38,21.95,3.82,0.34,0.684,0.16,1.38,2.31,0.25,4.5,10.5,19.11,40.72383,-73.92617,Permanent
NC1,2006-09-27T00:00:00.000,10:07 AM,20.23,20.62,21,21.12,21.94,7.77,0.381,0.342,0.104,1.77,2.01,0.225,11,3.5,54.432,40.724,-73.92633,Permanent
NC1,2006-09-07T00:00:00.000,10:31 AM,22.02,21.61,23,20.34,22.37,2.66,0.19,0.766,,1.49,3.12,0.31,2.75,1.5,23.96,40.72383,-73.92633,Permanent
NC2,2006-10-25T00:00:00.000,10:43 AM,14.84,14.87,16,20.75,20.79,5.31,0.5,0.629,,1.27,1.25,0.23,16.25,6.75,9.44,40.72883,-73.93483,Permanent
NC2,2006-05-24T00:00:00.000,10:42 AM,16.02,14.96,15,15.79,19.11,7.77,0.211,0.799,0.143,2.29,2.03,0.344,17.75,25.5,69.55,40.72883,-73.93533,Permanent
NC2,2006-06-01T00:00:00.000,10:30 AM,18.04,17.22,12,20.49,20.79,6.71,0.298,0.389,0.076,1.01,0.78,0.169,21.25,19.5,15.57,40.729,-73.935,Permanent
