sampling_location,sample_date,sample_time,top_sample_temperature_c,bottom_sample_temperature_c,site_actual_depth_ft,top_salinity_psu,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,bottom_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,long,lat,type
GC6,2006-08-17T00:00:00.000,11:15 AM,,,13,,,,0.282,0.483,0.129,1.16,1.43,0.169,1.8,1.4,0.91,,,Permanent
GC6,2006-08-31T00:00:00.000,10:35 AM,,,13,,,,0.344,0.47,0.129,1.97,1.64,0.167,2.6,5.6,0.65,,,Permanent
GC6,2006-09-14T00:00:00.000,10:55 AM,,,13,,,,0.476,0.965,0.209,1.89,1.96,0.319,5.2,5.6,,,,Permanent
GC6,2006-09-28T00:00:00.000,11:15 AM,,,15,,,,0.477,0.416,0.12,1.07,1.43,0.2,4.8,12.4,,,,Permanent
H3,2006-10-23T00:00:00.000,5:13 PM,16.46,16.53,23,19.5,19.64,5.79,0.632,0.486,,1.06,1.35,0.113,5.75,3.25,1.23,40.829,-73.93417,Permanent
H3,2006-07-31T00:00:00.000,3:23 PM,26.73,26.64,22,7.92,8.05,5.83,0.499,0.129,0.086,0.97,3.93,0.132,16,21,5.74,40.8295,-73.934,Permanent
H3,2006-08-21T00:00:00.000,4:57 PM,24.39,24.38,19,23.25,23.19,3.95,0.396,0.414,0.157,1.41,1.58,0.196,16.5,7.75,2.72,40.82717,-73.93367,Permanent
H3,2006-08-28T00:00:00.000,3:16 PM,23.56,23.54,25,15.48,15.66,4.26,0.452,0.259,0.121,0.69,1.82,0.162,0.5,2,1.38,40.829,-73.934,Permanent
H3,2006-08-08T00:00:00.000,4:41 PM,23.65,23.57,23,22.21,22.27,5.05,0.259,0.323,0.106,0.71,1.25,0.155,19.5,24,7.72,40.82717,-73.934,Permanent
H3,2006-09-11T00:00:00.000,3:45 PM,21.95,21.93,27,20.64,20.79,4.68,0.589,0.336,0.136,0.59,2.08,0.191,13.5,7.5,2.6,40.829,-73.93383,Permanent
H3,2006-09-18T00:00:00.000,1:32 PM,21.69,21.67,19,21.32,21.44,4.42,0.65,0.478,0.152,0.71,2.01,0.198,15.25,7.25,1.09,40.82733,-73.9335,Permanent
H3,2006-09-25T00:00:00.000,3:11 PM,21.17,21.14,23,19.13,19.3,5.03,0.698,0.307,0.14,1.27,1.97,0.192,9.75,18.75,1.4868,40.829,-73.93383,Permanent
H3,2006-09-05T00:00:00.000,1:13 PM,21.62,21.62,23,21.14,21.18,4.51,0.513,0.456,0.152,1.88,2.02,0.194,6.25,4.5,1.7,40.82883,-73.934,Permanent
J1,2007-01-23T00:00:00.000,12:18 PM,5.27,7.73,37,28.73,31.22,11.76,0.298,0.188,0.048,0.594,0.608,0.078,7.5,17,10.6,40.57377,-73.8841,Permanent
J1,2006-10-24T00:00:00.000,12:00 PM,13.64,14.43,39,27.31,28.74,7.66,0.43,0.406,,1.45,1.24,0.142,2.25,3.25,9.9,40.57333,-73.88417,Permanent
J1,2004-05-11T00:00:00.000,12:35 PM,12.76,12.49,32,26.64,26.83,6.02,0.157,0.282,0.069,0.79,0.8,0.104,3.2,4.4,3.8,,,Permanent
J1,2007-06-12T00:00:00.000,12:21 PM,21.96,21,32,26.29,27.03,6.54,0.116,0.136,0.118,1.19,0.693,0.202,7.2,6.5,28.9,40.57333,-73.88483,Permanent
J1,2007-06-19T00:00:00.000,12:19 PM,20.2,19.14,36,29.17,30.29,5.53,0.064,0.175,0.062,0.503,0.66,0.094,9.2,9.5,2.5,40.5735,-73.884,Permanent
J1,2007-06-26T00:00:00.000,12:00 PM,22.13,19.85,32,27.66,28.37,6.52,0.126,0.078,0.105,1.68,0.462,0.203,9.7,12,37.1,40.5735,-73.884667,Permanent
J1,2007-06-05T00:00:00.000,11:54 AM,17.8,17.51,37,28.3,29.02,4.83,0.053,0.152,0.06,1.59,0.59,0.085,13,11.5,1.5,40.57333,-73.88483,Permanent
J1,2007-07-10T00:00:00.000,12:15 PM,22.69,21.39,33,27.96,28.55,7.94,0.064,0.04,0.085,1.65,0.79,0.19,11,15.5,32.4,40.5735,-73.885,Permanent
J1,2007-07-25T00:00:00.000,12:25 PM,22.97,22.21,30,27.36,28.12,5.23,0.114,0.256,0.13,1.16,0.714,0.235,6.6,13,12.2,40.574,-73.88417,Permanent
